"Name","Manufacturing Industry related","Abbreviation","Short description","Latest version","Latest activity found","Project page or publication","Ontology URI","RDF/XML file","Turtle file","Download location","Authors/creators","License"
"Battery Interface Ontology","yes","BattINFO","Ontology providing terms and relations needed to describe things, processes and data in the battery domain.","Information not available","2024-02-29","https://www.big-map.eu/dissemination/battinfo","https://big-map.github.io/BattINFO/ontology/BattINFO#","","https://raw.githubusercontent.com/BIG-MAP/BattINFO/master/battinfo.ttl","","Casper Welzel Andersen,Eibar Flores,Francesca Lønstad Bleken,Jesper Friis,Simon Clark","CC-BY 4.0"
"Bicycle Vocabulary","yes","Information not available","Vocabulary to represent the product type Bicycle in the context of the OPDM project.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/bicycle.html","http://purl.org/opdm/bicycle#","http://purl.org/opdm/bicycle#","http://purl.org/opdm/bicycle#","","László Török,Martin Hepp,Bene Rodriguez-Castro","CC-BY 3.0"
"Brick","yes","Brick","Brick is an open-source, BSD-licensed development effort to create a uniform schema for representing metadata in buildings.","1.3.0","2022-10-12","https://brickschema.org/","https://brickschema.org/schema/1.3/Brick","","https://github.com/BrickSchema/Brick/releases/download/v1.3.0/Brick.ttl","","Gabe Fierro,Jason Koh","BSD-3-Clause"
"Building Automation and Control Network Ontology","yes","BACnet","BACnet is an ASHRAE sponsored protocol for building automation and control networks (IoT).","Information not available","2014-02-07","https://bacowl.sourceforge.net/intro.html","http://bacowl.sourceforge.net/2012/bacnet","","https://bacowl.sourceforge.net/2012/bacnet.ttl","","Joel Bender (source: https://sourceforge.net/p/bacowl/activity/?page=0&limit=100)","Information not available"
"Building Circularity Assessment Ontology","yes","BCAO","Building Circularity Assessment Ontology (BCAO) is proposed to structure the scattered heterogenous manufacturer product data needed for the assessment.","Information not available","2020-12-23","https://github.com/linmor-sys/BCAO","https://github.com/linmor-sys/BCAO.owl","https://raw.githubusercontent.com/linmor-sys/BCAO/main/BCAO.owl","https://raw.githubusercontent.com/linmor-sys/BCAO/main/BCAO.ttl","","Information not available","Information not available"
"Building Element Ontology","yes","Information not available","The Building Element Ontology provides an ontology based on the IfcBuildingElement subtree in the IFC specification, containing a taxonomy of classes that allow to define common building elements.","0.1.0","2018-12-27","https://pi.pauwel.be/voc/buildingelement/index-en.html","https://pi.pauwel.be/voc/buildingelement","","https://pi.pauwel.be/voc/buildingelement/ontology.ttl","","Pieter Pauwels","CC-BY 1.0"
"Building Ontology","yes","Information not available","The Building ontology has been developed to perform as the core module of the BIMERR project, containing information related to buidling topology, components, materials and geometry. The geometry information is managed as information objects whitout entering in the details of the BIM model.","0.1.5","No Information available","https://bimerr.iot.linkeddata.es/def/building/","http://bimerr.iot.linkeddata.es/def/building#","","https://bimerr.iot.linkeddata.es/def/building/ontology.ttl","","Serge Chávez-Feria,María Poveda-Villalón","CC-BY 4.0"
"Building Product Ontology","yes","BPO","The Building Product Ontology defines concepts to describe (building) products in a schematic way.","1.2","2019-11-04","https://www.projekt-scope.de/ontologies/bpo/","https://w3id.org/bpo","https://www.projekt-scope.de/ontologies/bpo/bpo.rdf","https://www.projekt-scope.de/ontologies/bpo/bpo.ttl","","Anna Wagner,Christian Eller,Christian Leifgen,Laura Kristina Moeller","CC-BY 1.0"
"Building Topology Ontology","yes","BOT","The Building Topology Ontology (BOT) is a minimal ontology for describing the core topological concepts of a building.","0.3.2","2021-06-28","https://github.com/w3c-lbd-cg/bot","https://w3id.org/bot#","","https://raw.githubusercontent.com/w3c-lbd-cg/bot/master/bot.ttl","","Mads Holten Rasmussen,Pieter Pauwels,Maxime Lefrançois,Georg Ferdinand Schneider","CC-BY 1.0"
"Capability and Skills Ontology based on Industry Standards","yes","CaSk","A domain ontology to describe capabilities and skills. This ontology extends the concepts defined in the CSS ontology (https://github.com/hsu-aut/css-ontology) by using ontology design patterns for different standards.","2.5.2","2023-09-06","https://github.com/CaSkade-Automation/CaSk","http://www.w3id.org/hsu-aut/cask","","https://raw.githubusercontent.com/CaSkade-Automation/CaSk/main/cask.owl","","Aljosha Köcher","MIT"
"Capability and Skills Ontology based on Manufacturing","yes","CaSkMan","A domain ontology to model capabilities and skills in manufacturing. It extends CaSk by standards such as DIN 8580 (manufacturing operations),VDI 2860 (handling operations) as well as WADL and OPC UA to model skills with interfaces based on web services as well as OPC UA.","4.5.1","2023-09-05","https://github.com/CaSkade-Automation/CaSkMan","http://www.w3id.org/hsu-aut/caskman#","https://raw.githubusercontent.com/CaSkade-Automation/CaSkMan/master/caskman.owl","","","Aljosha Köcher","MIT"
"Car HiFi Vocabulary","yes","Information not available","Vocabulary to describe car hifis.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/carhifi.html","http://purl.org/opdm/carhifi#","http://purl.org/opdm/carhifi#","http://purl.org/opdm/carhifi#","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Car Options Ontology","yes","COO","The COO provides a vocabulary for exposing available configuration options for car models. It allows indicating choices that can be made as well as compatibility, dependency and inclusion information.","1.1","2010-10-12","Information not available","http://purl.org/coo/ns#","","https://lov.linkeddata.es/dataset/lov/vocabs/coo/versions/2010-10-12.n3","","Martin Hepp","CC-BY 3.0"
"Chair Vocabulary","yes","Information not available","Web vocabulary to represent the product type Chair in the context of the OPDM project.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/chair.html","http://purl.org/opdm/chair#","http://purl.org/opdm/chair#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Classification of Business Functions","yes","CBF","The Classification of Business Functions (CBF 1.0) is intended for use in the production of business statistics, building on experiences from several recent surveys in Europe, Canada, the United States, and India. The primary use of business function statistics is to examine the details of international sourcing. However, it could also be applied to domestic sourcing..","1.0","2023-12-18","https://showvoc.op.europa.eu/#/datasets/Classification_of_Business_Functions_%28CBF_1.0%29/metadata","http://data.europa.eu/38u/cbf1.0/","","","https://showvoc.op.europa.eu/#/datasets/Classification_of_Business_Functions_%28CBF_1.0%29/metadata","Eurostat","Information not available"
"Clothing Product Information Ontology","yes","Information not available","The Clothing Product Information (CPI) vocabulary is a garment ontology for modeling product-specific and clothing-related information.","1.0","2017-07-21","http://www.ebusiness-unibw.org/ontologies/cpi/ns","http://www.ebusiness-unibw.org/ontologies/cpi/ns","https://akswnc7.informatik.uni-leipzig.de/dstreitmatter/archivo/ebusiness-unibw.org/ontologies--cpi--ns/2020.06.10-214448/ontologies--cpi--ns_type=parsed.owl","https://akswnc7.informatik.uni-leipzig.de/dstreitmatter/archivo/ebusiness-unibw.org/ontologies--cpi--ns/2020.06.10-214448/ontologies--cpi--ns_type=parsed.ttl","","Alex Stolz","CC-BY 4.0"
"Coffee Machine Vocabulary","yes","Information not available","Vocabulary to describe coffee machines.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/coffeemachine.html","http://purl.org/opdm/coffeemachine#","http://purl.org/opdm/coffeemachine#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Collaborative Manufacturing Service Ontology","yes","Information not available","Collaborative Manufacturing Services Ontology aims to describe both manufacturing domain and collaboration scemes between business entities especially for waste management and software solutions domains. NOTE: ontology files need to be extracted from ZIP archive before use.","2","2019-08-29","https://zenodo.org/records/3374505","http://www.composition-project/ontologies/COMPOSITIONv02","","","https://zenodo.org/records/3374505/files/Collaborative_Manufacturing_Services_OntologyV02.zip?download=1","CERTH - ITI","MIT"
"Components for ExtruOnt","yes","Information not available","An RDF/OWL schema for representing the components of an extruder.","Information not available","2019-04-01","https://www.semantic-web-journal.net/system/files/swj2217.pdf","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/components4ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/components4ExtruOnt#","","","BDI – Interoperable Databases Group University of the Basque Country UPV/EHU","Information not available"
"Computer Vocabulary","yes","Information not available","Vocabulary to describe personal computers, laptops and netbooks.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/computer.html","http://purl.org/opdm/computer#","http://purl.org/opdm/computer#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Context Aware System Observation Ontology","yes","CASO","Context Aware System Observation is an ontology for context aware system and observation services and was developed with the goal to describe all the processing of the context.","1.2.0","2021-03-01","https://irstea.github.io/caso/OnToology/ontology/caso.owl/documentation/index-en.html","http://www.w3id.org/def/caso","","https://irstea.github.io/caso/OnToology/ontology/caso.owl/documentation/ontology.ttl","","Catherine Roussey,Quang-Duy NGUYEN,María Poveda-Villalon","CC-BY 4.0"
"Cooker and Oven Vocabulary","yes","Information not available","Vocabulary to describe cookers and ovens.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/cookeroven.html","http://purl.org/opdm/cookeroven#","http://purl.org/opdm/cookeroven#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"core","yes","Information not available","Core ontology for Product Lifecycle Management (PLM) RDL.","0.9.1","2022-09-26","https://rds.posccaesar.org/ontology/plm/ont/core/","http://rds.posccaesar.org/ontology/plm/ont/core","https://rds.posccaesar.org/ontology/plm/ont/core/0.9.0/plm-core.rdf","https://rds.posccaesar.org/ontology/plm/ont/core/0.9.0/plm-core.ttl","","Johan Wilhelm Klüwer","CC-BY-SA 4.0"
"Core Ontology for Robotics and Automation","yes","CORA","It was developed within the IEEE 1872-2015 Standard Ontologies for Robotics and Automation. Specifies core conceptions of Robotics domain.","1.0","2020-10-21","https://github.com/srfiorini/IEEE1872-owl","http://purl.org/ieee1872-owl/cora","https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/cora.owl","","","Sandro Rama Fiorini,Vitor Fortes Rey","CC-BY 4.0"
"Core Ontology for Robotics and Automation (Bare)","yes","Information not available","A standalone taxonomy of the concepts and properties in CORA, without links to SUMO or CORAX.","1.0","2017-11-24","https://github.com/srfiorini/IEEE1872-owl","http://purl.org/ieee1872-owl/cora-bare","https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/cora-bare.owl","","","Sandro Rama Fiorini,Vitor Fortes Rey","CC-BY 4.0"
"CORAX","yes","CORAX","It was developed to provide concepts which were to general for CORA ontology, but did not exist in SUMO ontology, such as design, interaction and artifical system.","1.0","2020-10-21","https://github.com/srfiorini/IEEE1872-owl","http://purl.org/ieee1872-owl/corax","https://raw.githubusercontent.com/srfiorini/IEEE1872-owl/master/corax.owl","","","Sandro Rama Fiorini,Vitor Fortes Rey","CC-BY 4.0"
"Crystallography Domain Ontology","yes","Information not available","A crystallography domain ontology based on EMMO and the CIF core dictionary.","0.1.0","2024-02-13","https://github.com/emmo-repo/domain-crystallography","http://emmo.info/domain-crystallography/crystallography","","https://raw.githubusercontent.com/emmo-repo/domain-crystallography/master/crystallography.ttl","","Jesper Friis,Francesca Lønstad Bleken,Casper Welzel Andersen","CC-BY 4.0"
"CSS Ontology","yes","CSS","An ontology for the Capability, Skill and Service reference model defined by Plattform Industrie 4.","1.0.1","2023-01-26","https://github.com/CaSkade-Automation/CSS","http://www.w3id.org/hsu-aut/css","","https://raw.githubusercontent.com/hsu-aut/css-ontology/v1.0.1/CSS-Ontology.owl","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"DefectOnt","yes","DefectOnt","An ontology for defect detection in metal additive manufacturing.","Information not available","2022-10-09","https://github.com/AndreaMazzullo/DefectOnt/","http://www.semanticweb.org/andrea/ontologies/2022/8/DefectOnt","https://raw.githubusercontent.com/AndreaMazzullo/DefectOnt/master/DefectOnt.owl","","","Massimo CarraturoaAndrea Mazzullo","Information not available"
"Digital Buildings Ontology","yes","DBO","The Digital Buildings ontology is an open-source, Apache-licensed development effort to create a uniform schema for representing metadata in Google's buildings real estate portfolio. It is inspired from Project Haystack and BrickSchema.","0.0.1","2020-10-31","https://github.com/google/digitalbuildings/","http://www.google.com/digitalbuildings/","https://raw.githubusercontent.com/google/digitalbuildings/master/ontology/rdf/digital_buildings.rdf","","","Keith Berkoben,Trevor Sodorff","Apache License 2.0"
"Digital Camera Vocabulary","yes","Information not available","Vocabulary to describe digital cameras.","1.0","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/digitalcamera.html","http://purl.org/opdm/digitalcamera#","http://purl.org/opdm/digitalcamera#","","","Bene Rodriguez-Castro,László Török,Martin Hepp","CC-BY 3.0"
"Digital Construction Materials","yes","Information not available","The Material Ontology defining the main concepts of building material, type and its properties.","0.5","Information not available","Information not available","https://w3id.org/digitalconstruction/0.5/Materials","https://data.industryportal.enit.fr/ontologies/DCMATERIALS/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","Janakiram Karlapudi,Prathap Valluru","CC-BY 4.0"
"Digital Receiver Vocabulary","yes","Information not available","Vocabulary to describe televisiton digital receivers.","1.4","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/digitalreceiver.html","http://purl.org/opdm/digitalreceiver#","http://purl.org/opdm/digitalreceiver#","","","Bene Rodriguez-Castro,László Török,Martin Hepp","CC-BY 3.0"
"DIN EN 61360 Ontology-Design-Pattern","yes","DINEN61360","Its an ontology design pattern of DIN EN 61360, which is about standard data element types with associated classification scheme (Part 1: Definitions - Principles and methods).","2.0.0","2023-11-28","https://github.com/hsu-aut/IndustrialStandard-ODP-DINEN61360","http://www.w3id.org/hsu-aut/DINEN61360","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DINEN61360/master/DINEN61360.owl","","","Aljosha Köcher (via Git commits, might be incomplete)","MIT"
"DIN EN 62264-2 Ontology-Design-Pattern","yes","Information not available","Its an ontology design pattern of DIN EN 62264-2, which is about the continuous exchange of information between company functions such as production, planning, materials management, personnel, the control systems and the IT systems must be correct, complete and timely without delay.","2.0.0","2023-11-17","https://github.com/hsu-aut/IndustrialStandard-ODP-DINEN62264-2","http://www.w3id.org/hsu-aut/DINEN62264-2","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DINEN62264-2/master/DINEN62264.owl","","","Aljosha Köcher,Janni Kreisberg (via Git commits, might be incomplete)","MIT"
"DIN 8580 Ontology-Design-Pattern","yes","Information not available","Its an ontology design pattern of DIN 8580, a German standard with a taxonomy of manufacturing processes.","2.0.0","2023-07-18","https://github.com/hsu-aut/IndustrialStandard-ODP-DIN8580","http://www.w3id.org/hsu-aut/DIN8580","https://raw.githubusercontent.com/hsu-aut/IndustrialStandard-ODP-DIN8580/master/DIN8580.owl","","","Tom Jeleniewski,Aljosha Köcher","MIT"
"Dishwasher Vocabulary","yes","Information not available","Vocabulary to describe dishwashers.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/dishwasher.html","http://purl.org/opdm/dishwasher#","http://purl.org/opdm/dishwasher#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Distribution Element Ontology","yes","Information not available","The Distribution Element Ontology provides an ontology based on the IfcDistributionElement subtree in the IFC specification, containing a taxonomy of classes that allow to define common distribution elements (actuators, flowterminals, .","0.1.0","2019-01-28","https://pi.pauwel.be/voc/distributionelement/index-en.html","https://pi.pauwel.be/voc/distributionelement","https://pi.pauwel.be/voc/distributionelement/ontology.xml","https://pi.pauwel.be/voc/distributionelement/ontology.ttl","","Pieter Pauwels","CC-BY 1.0"
"DogOnt: Ontology Modeling for Intelligent Domotic Environments","yes","Information not available","DogOnt is a modeling language for IEs (Intelligent Environments), based on Semantic Web technologies.","4.0.2","2019-03-26","https://iot-ontologies.github.io/dogont/","http://elite.polito.it/ontologies/dogont.owl","http://elite.polito.it/ontologies/dogont.owl","","","Dario Bonino","Apache License 2.0"
"Domain Mechanical Testing","yes","Information not available","A domain ontology for Mechanical Testing based on EMMO.","1.0.0","2022-07-13","https://github.com/emmo-repo/domain-mechanical-testing","http://emmo.info/emmo/domain/mechanical-testing","https://raw.githubusercontent.com/emmo-repo/domain-mechanical-testing/master/emmo-mechanical-testing.owl","","","Adham Hashibon,Daniele Toti,Gerhard Goldbeck,Joana Francisco Morgado,Yoav Nahshon","CC-BY 4.0"
"Domain Mechanical Testing Chemistry","yes","Information not available","Information not available","1.0.0-beta","2022-06-01","https://github.com/emmo-repo/domain-mechanical-testing","http://emmo.info/emmo/middle/chemistry","https://raw.githubusercontent.com/emmo-repo/domain-mechanical-testing/master/chemistry.owl","","","Joana F. Morgado and contributors (https://github.com/emmo-repo/domain-mechanical-testing/graphs/contributors)","CC-BY 4.0"
"Dryer Machine Vocabulary","yes","Information not available","Vocabulary to describe dryer machines.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/dryermachine.html","http://purl.org/opdm/dryermachine#","http://purl.org/opdm/dryermachine#","","","Bene Rodriguez-Castro,László Török,Martin Hepp","CC-BY 3.0"
"DVD Player and Blu-ray Player Vocabulary","yes","Information not available","Vocabulary for DVD players and blu-ray players.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/blurayplayer.html","http://purl.org/opdm/blurayplayer#","http://purl.org/opdm/blurayplayer#","","","Bene Rodriguez-Castro,László Török,Martin Hepp","CC-BY 3.0"
"eClass Products and Services Ontology","yes","eClass","This ontology provides core classes and properties derived from the products and services categorization standard eCl@ss 5.","5.1.4","Information not available","http://www.heppnetz.de/projects/eclassowl/","http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/#","http://www.ebusiness-unibw.org/ontologies/eclass/5.1.4/eclass_514en.owl","","","Martin Hepp,eCl@ss e.V.","Custom license"
"EEPSA Ontology","yes","EEPSA","This ontology puts together all the ontology modules and ODPs that form the EEPSA Ontology.","2.0","2021-01-28","https://iesnaola.github.io/eepsa/EEPSA/index-en.html","https://w3id.org/eepsa#","https://iesnaola.github.io/eepsa/EEPSA/ontology/ontology.owl","https://iesnaola.github.io/eepsa/EEPSA/ontology/ontology.ttl","","Iker Esnaola-Gonzalez,Jesús Bermúdez","CC-BY-NC 4.0"
"Elemental Multiperspective Material Ontology","yes","EMMO","Elemental Multiperspective Material Ontology is a multidisciplinary effort to develop a standard representational framework (the ontology) based on current materials modelling knowledge, including physical sciences, analytical philosophy and information and communication technologies.","1.0.0-beta","2022-05-29","https://emmc.eu/emmo","http://emmo.info/emmo#","","http://emmo.info/emmo#","","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis","CC-BY 4.0"
"Elemental Multiperspective Material middle-level ontology","yes","Information not available","The EMMO middle-level ontology is a container for the EMMO middle level ontologies.","1.0.0-beta","2020-12-05","https://github.com/emmo-repo/EMMO","http://emmo.info/emmo/middle","","https://raw.githubusercontent.com/emmo-repo/EMMO/1.0.0-beta/middle/middle.ttl","","Adham Hashibon,Emanuele Ghedini,Georg Schmitz,Gerhard Goldbeck,Jesper Friis","CC-BY 4.0"
"equipment","yes","Information not available","Equipment ontology for Product Lifecycle Management RDL.","0.9.1","2022-09-26","https://rds.posccaesar.org/ontology/plm/ont/equipment/","http://rds.posccaesar.org/ontology/plm/ont/equipment","https://rds.posccaesar.org/ontology/plm/ont/equipment/0.9.0/plm-equipment.rdf","https://rds.posccaesar.org/ontology/plm/ont/equipment/0.9.0/plm-equipment.ttl","","Johan Wilhelm Klüwer","CC-BY-SA 4.0"
"ERA Vocabulary","yes","Information not available","This is the human and machine readable Vocabulary/Ontology governed by the European Union Agency for Railways (https://www.era.europa.eu/). It represents the concepts and relationships linked to the sectorial legal framework and the use cases under the Agency´s remit, as described in the Commission Implementing Regulation (EU) on the common specifications for the register of railway infrastructure. Currently, this vocabulary covers the European railway infrastructure and the vehicles types authorized to operate over it.","3.0.0","2023-03-29","https://showvoc.op.europa.eu/#/datasets/ERA_vocabulary/metadata","http://data.europa.eu/949/","","","https://showvoc.op.europa.eu/#/datasets/ERA_vocabulary/metadata","Edna Ruckhaus,Oscar Corcho","CC-BY 4.0"
"European Waste Classification for Statistics","yes","Information not available","The European Waste Classification is a mainly substance oriented classification of waste for statistical purposes, which distinguishes hazardous and non-hazardous waste. It is aggregated into 51 mainly substance orientated waste categories that provides criteria for the assessment and classification of hazardous waste and defines different types of waste by a six-digit code for the waste and the respective two-digit and four-digit chapter headings.","4","2023-12-19","https://showvoc.op.europa.eu/#/datasets/ESTAT_European_Waste_Classification_for_Statistics_%28EWC-Stat_Rev.4%29/metadata","http://data.europa.eu/6p8/ewc4-stat/","","","https://showvoc.op.europa.eu/#/datasets/ESTAT_European_Waste_Classification_for_Statistics_%28EWC-Stat_Rev.4%29/metadata","Eurostat","Information not available"
"Extruder Ontology","yes","ExtruOnt","An ontology for describing a type of manufacturing machines which perform an extrusion process (extruder).","1.0.0","2019-05-29","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/docs/","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/ExtruOnt.owl","","","Víctor Julio Ramírez-Durán,Idoia Berges,Arantza Illarramendi","CC-BY 4.0"
"Extruder's sensors ontology","yes","sensors4ExtruOnt","Sensor related information for ExtruOnt ontology.","Information not available","Information not available","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/docs/","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/sensors4ExtruOnt","http://bdi.si.ehu.es/bdi/ontologies/ExtruOnt/sensors4ExtruOnt.owl","","","BDI group","CC-BY 3.0"
"Facility Ontology","yes","Information not available","The COGITO Facility ontology aims at modelling facilities in the construction domain.","0.11.0","2023-12-07","https://github.com/oeg-upm/cogito-facility-ontology","https://cogito.iot.linkeddata.es/def/facility#","https://cogito.iot.linkeddata.es/def/facility/ontology.rdf","https://cogito.iot.linkeddata.es/def/facility/ontology.ttl","","María Poveda Villalón,Raúl García Castro,Socorro Bernardos Galindo","CC-BY 4.0"
"Fridge and Freezer Vocabulary","yes","Information not available","Vocabulary to describe fridges and freezers.","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/refrigerator.html","http://purl.org/opdm/refrigerator#","http://purl.org/opdm/refrigerator#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
"Furniture Sector Ontology","yes","FUNSTEP","The furniture sector ontology aims at covering the scope of the furniture industry and it has been extended according to the needs of the furniture domain to the home and furnishing arena.","2.5.1","2020-11-17","https://industryportal.enit.fr/ontologies/FUNSTEP","http://www.aidimme.es/FurnitureSectorOntology.owl#","https://data.industryportal.enit.fr/ontologies/FUNSTEP/submissions/1/download?apikey=019adb70-1d64-41b7-8f6e-8f7e5eb54942","","","AIDIMME (www.aidimme.es),funStep initiative (www.funstep.org)","Custom license"
"Game Console Vocabulary","yes","Information not available","Vocabulary to describe game consoles, such as Nintendo Wii(c), Sony Playstation(c), Microsoft XBox(c).","Information not available","Information not available","http://www.ebusiness-unibw.org/ontologies/opdm/gameconsole.html","http://purl.org/opdm/gameconsole#","http://purl.org/opdm/gameconsole#","","","Martin Hepp,Bene Rodriguez-Castro,László Török","CC-BY 3.0"
